iter	Passed	Remaining
0	0	85
1	1	77
2	1	75
3	2	74
4	2	73
5	3	75
6	4	74
7	4	74
8	5	72
9	5	71
10	6	71
11	7	70
12	7	70
13	8	69
14	8	68
15	9	67
16	10	67
17	10	67
18	11	66
19	11	65
20	12	65
21	13	64
22	13	63
23	14	63
24	14	62
25	15	62
26	16	61
27	16	60
28	17	60
29	17	59
30	18	59
31	19	58
32	19	57
33	20	56
34	20	56
35	21	55
36	21	54
37	22	54
38	22	53
39	23	52
40	23	52
41	24	51
42	25	50
43	25	49
44	26	49
45	26	48
46	27	47
47	27	47
48	28	46
49	28	45
50	29	45
51	29	44
52	30	43
53	30	43
54	31	42
55	31	41
56	32	41
57	32	40
58	33	40
59	34	39
60	34	39
61	35	38
62	35	37
63	36	37
64	36	36
65	37	36
66	37	35
67	38	34
68	38	34
69	39	33
70	39	33
71	40	32
72	41	32
73	41	31
74	42	30
75	42	30
76	43	29
77	43	29
78	44	28
79	44	27
80	45	27
81	45	26
82	46	26
83	47	25
84	47	25
85	48	24
86	48	24
87	49	23
88	50	23
89	50	22
90	51	21
91	51	21
92	52	20
93	52	20
94	53	19
95	53	19
96	54	18
97	55	17
98	55	17
99	56	16
100	56	16
101	57	15
102	57	15
103	58	14
104	58	13
105	59	13
106	59	12
107	60	12
108	60	11
109	61	11
110	61	10
111	62	10
112	63	9
113	63	8
114	64	8
115	64	7
116	65	7
117	65	6
118	66	6
119	66	5
120	67	5
121	68	4
122	68	3
123	69	3
124	69	2
125	69	2
126	70	1
127	71	1
128	71	0
129	72	0
