iter	RMSE
0	0.9099571166
1	0.9019154453
2	0.8958260437
3	0.8899574517
4	0.8835556558
5	0.8771833749
6	0.8710684567
7	0.866529836
8	0.8621811389
9	0.8552958152
10	0.8502509248
11	0.8448183555
12	0.8389591253
13	0.8354866302
14	0.8328105176
15	0.8302826885
16	0.826662835
17	0.8222088579
18	0.8189000793
19	0.8147000655
20	0.8114088922
21	0.8071651582
22	0.8046274342
23	0.8026141984
24	0.8008038874
25	0.7984981514
26	0.7946166435
27	0.7920028871
28	0.789718288
29	0.7878463106
30	0.785283728
31	0.7842582545
32	0.7817523245
33	0.7805147923
34	0.7779507191
35	0.7764421113
36	0.7752741215
37	0.7742392422
38	0.7729085353
39	0.7714577972
40	0.7699997803
41	0.7684730984
42	0.7675309057
43	0.7656454356
44	0.763479767
45	0.7618705069
46	0.7611766512
47	0.7596792774
48	0.7580299774
49	0.7569519162
50	0.7560061637
51	0.7543313983
52	0.7535123923
53	0.7529034134
54	0.7514912688
55	0.7508166958
56	0.7493929697
57	0.7473907015
58	0.7455378507
59	0.744934931
60	0.7441395342
61	0.7428572914
62	0.7423419351
63	0.7418368117
64	0.7414166509
65	0.7399513921
66	0.7393864712
67	0.7388242426
68	0.7369265327
69	0.7365871721
70	0.7354112432
71	0.7350697045
72	0.7337637524
73	0.7320487324
74	0.7317084136
75	0.7303447414
76	0.7296676806
77	0.7279915188
78	0.7277289693
79	0.7274274865
80	0.7261038504
81	0.7250020281
82	0.7242361798
83	0.7234570234
84	0.723187409
85	0.7219493665
86	0.7214589891
87	0.7202044683
88	0.7196372603
89	0.7188218118
90	0.7184090204
91	0.7181169039
92	0.7174651298
93	0.7167741648
94	0.7158663291
95	0.7147696721
96	0.7140225304
97	0.7133873264
98	0.7125443472
99	0.7118734763
100	0.7117543194
101	0.7110427695
102	0.7100473957
103	0.7095847348
104	0.709272452
105	0.7088667427
106	0.7083905894
107	0.7079508907
108	0.7075275377
109	0.7070644556
110	0.7064708312
111	0.7057806896
112	0.7051580009
113	0.7045852771
114	0.7039092459
115	0.7034672409
116	0.7026790791
117	0.702049064
118	0.7011050292
119	0.7005927753
120	0.700213977
121	0.6996383449
122	0.6990313353
123	0.6985582622
124	0.6982345097
125	0.6977375937
126	0.6975836797
127	0.6967027009
128	0.6961191828
129	0.6954034714
130	0.6948482007
131	0.6944766581
132	0.6938312047
133	0.6932701323
134	0.6930457892
135	0.6921726515
136	0.6916379377
137	0.6912079351
138	0.6907463373
139	0.6903664163
140	0.6899039067
141	0.6894561263
142	0.6888758088
143	0.688215354
144	0.6880890437
145	0.6873659668
146	0.6871764049
147	0.6867933769
148	0.6863719401
149	0.6857460939
150	0.6854441355
151	0.6849083273
152	0.684493951
153	0.684142694
154	0.6837860548
155	0.6832347336
156	0.6824285978
157	0.6822322523
158	0.6818274923
159	0.6813213084
160	0.6807784083
161	0.6805420354
162	0.6804333612
163	0.679852491
164	0.6790106989
165	0.6784427416
166	0.6782269743
167	0.6778925646
168	0.6772606729
169	0.6760468687
170	0.6755074454
171	0.6750865417
172	0.6745800491
173	0.6742750028
174	0.6739052896
175	0.6732907675
176	0.672683993
177	0.6724660864
178	0.6717916028
179	0.6710709685
180	0.670483213
181	0.669922507
182	0.6691927154
183	0.6686377533
184	0.6683332468
185	0.667108221
186	0.666712941
187	0.6655773372
188	0.6651762804
189	0.6646759341
190	0.6640060091
191	0.6634755999
192	0.6632782504
193	0.6628768901
194	0.6621248756
195	0.6616233177
196	0.6611821604
197	0.6605836103
198	0.6598982292
199	0.6592229716
200	0.6585190031
201	0.6583729455
202	0.6573744032
203	0.6565274851
204	0.6557646332
205	0.6554748082
206	0.6547445492
207	0.6545688888
208	0.6541129632
209	0.6534207685
210	0.6533340357
211	0.6530721652
212	0.6526398204
213	0.6516544795
214	0.6509592618
215	0.6508262388
216	0.6502985738
217	0.649661181
218	0.6488548417
219	0.6482453058
220	0.648109738
221	0.6474636652
222	0.6471279013
223	0.6466353562
224	0.64614705
225	0.6460813469
226	0.646009918
227	0.6455749964
228	0.6455082842
229	0.6453671959
230	0.6448992877
231	0.6445246813
232	0.6439028189
233	0.6435095387
234	0.6428572884
235	0.642737025
236	0.6421438518
237	0.6416929999
238	0.6410239292
239	0.6403631333
240	0.6397397076
241	0.6396236384
242	0.6394839482
243	0.6388952209
244	0.63818665
245	0.6381146301
246	0.637682397
247	0.6372824792
248	0.6367714105
249	0.635913132
250	0.635291276
251	0.6346301006
252	0.6341267078
253	0.6334000772
254	0.632644866
255	0.6320822922
256	0.631356142
257	0.6308306405
258	0.6304255658
259	0.6299741451
260	0.6292651763
261	0.6288759787
262	0.628091832
263	0.6274747196
264	0.6272392796
265	0.6266452009
266	0.6261292415
267	0.6260233255
268	0.6254023811
269	0.6250724862
270	0.6243509097
271	0.6239968988
272	0.6232568586
273	0.6226875947
274	0.6223829908
275	0.6223168314
276	0.6218314349
277	0.6215377111
278	0.620973317
279	0.620644963
280	0.620210876
281	0.620098964
282	0.6195935947
283	0.619324638
284	0.6185724018
285	0.618045675
286	0.6174668359
287	0.6169314002
288	0.6164586984
289	0.6158843534
290	0.6155332508
291	0.6150756159
292	0.6150180436
293	0.6145354858
294	0.6144795182
295	0.6138828741
296	0.6135459563
297	0.6131420659
298	0.6129413774
299	0.6128798123
300	0.6122199482
301	0.6118453263
302	0.6113859335
303	0.6113404924
304	0.6106810106
305	0.6102213774
306	0.6098032013
307	0.6093559263
308	0.60892744
309	0.608499723
310	0.6079061045
311	0.6076172953
312	0.6073603161
313	0.6069170691
314	0.6068727533
315	0.6064714875
316	0.6062625895
317	0.6057803055
318	0.605426103
319	0.6050151652
320	0.6049682742
321	0.6049188775
322	0.6044550316
323	0.6040791501
324	0.603704534
325	0.6033295713
326	0.6031441585
327	0.6027999602
328	0.6025184111
329	0.6022351018
330	0.6020272805
331	0.6015805288
332	0.6008367389
333	0.6003327678
334	0.6000574241
335	0.5996940025
336	0.5994343817
337	0.5987286197
338	0.5981104651
339	0.5980694755
340	0.5978096752
341	0.5975684082
342	0.5972454025
343	0.5964373664
344	0.5958699992
345	0.59550592
346	0.5952081133
347	0.5951681805
348	0.5948488428
349	0.5948008755
350	0.5947528437
351	0.5944754096
352	0.5942308143
353	0.5939900679
354	0.5934386237
355	0.5931205749
356	0.5927234577
357	0.5923713027
358	0.5916826134
359	0.5915998322
360	0.5913364084
361	0.5909506397
362	0.5903903901
363	0.5899915311
364	0.5892720377
365	0.5892306391
366	0.5888465439
367	0.58831412
368	0.5878153723
369	0.5875024967
370	0.5870777592
371	0.5865809675
372	0.5861791309
373	0.5858782409
374	0.5855010876
375	0.5851090015
376	0.5849088993
377	0.5848094089
378	0.5842900416
379	0.5839816338
380	0.5833595445
381	0.5826127184
382	0.5820377467
383	0.581713406
384	0.5816249831
385	0.5815852992
386	0.5810241199
387	0.5806106076
388	0.5802684665
389	0.5799932139
390	0.5796616025
391	0.5795133969
392	0.5792407289
393	0.5786831219
394	0.5785411679
395	0.5782504137
396	0.578186034
397	0.5778646526
398	0.5776348653
399	0.5770217849
400	0.5767272227
401	0.5763547215
402	0.5756410472
403	0.5753339711
404	0.5750180349
405	0.574793668
406	0.5742665849
407	0.5741683591
408	0.5739968774
409	0.5738060987
410	0.573678965
411	0.5734079285
412	0.5727168866
413	0.5721578243
414	0.57192017
415	0.5717616156
416	0.5713860251
417	0.5708932696
418	0.5705541664
419	0.5704179303
420	0.5700338199
421	0.5699674178
422	0.5696046894
423	0.5692649022
424	0.568620395
425	0.5684612216
426	0.5682977842
427	0.5678502198
428	0.5676850561
429	0.5674058502
430	0.5670885567
431	0.5667909135
432	0.5664300888
433	0.5660053466
434	0.565712292
435	0.5654940939
436	0.5654601861
437	0.5652182838
438	0.5649467006
439	0.5646528988
440	0.5642818286
441	0.5638991193
442	0.5635185993
443	0.5632977588
444	0.5627846919
445	0.5627505971
446	0.5626756598
447	0.5624889258
448	0.5622111936
449	0.5615972429
450	0.5613941985
451	0.5610744727
452	0.5607188612
453	0.5605759812
454	0.5605445115
455	0.5603742336
456	0.5601714444
457	0.559643586
458	0.5592140788
459	0.5588843538
460	0.5586401619
461	0.5579515609
462	0.5576853355
463	0.5574814496
464	0.557156835
465	0.5570211268
466	0.5569290237
467	0.5568515273
468	0.5567116016
469	0.5562505732
470	0.5559960831
471	0.5559759868
472	0.5554063759
473	0.5551453689
474	0.5550083106
475	0.554861971
476	0.554456645
477	0.553885229
478	0.553846889
479	0.5535614019
480	0.5534485365
481	0.5532783695
482	0.5529016721
483	0.552539479
484	0.552247176
485	0.5520011379
486	0.5519024936
487	0.5515653113
488	0.5514009126
489	0.550900327
490	0.5504457532
491	0.5503210473
492	0.5501034295
493	0.5500486411
494	0.5497126978
495	0.5495662642
496	0.5493093693
497	0.5488540046
498	0.5486665963
499	0.5485908351
500	0.5482397768
501	0.5479987404
502	0.5474745559
503	0.5473130116
504	0.547148671
505	0.5469163792
506	0.5464382682
507	0.5461014024
508	0.5457312197
509	0.5451821626
510	0.5448556874
511	0.5445530187
512	0.5440230127
513	0.5440049982
514	0.543806895
515	0.5435986326
516	0.543478056
517	0.5431273325
518	0.5428179438
519	0.5424854281
520	0.5422834374
521	0.541850825
522	0.5418331666
523	0.5414345812
524	0.5410296729
525	0.5406817226
526	0.5402197966
527	0.5400438163
528	0.5398630585
529	0.5398458514
530	0.5395323115
531	0.5392291937
532	0.5387675098
533	0.5386503171
534	0.5383783686
535	0.537799156
536	0.5373592819
537	0.5369763783
538	0.5369593413
539	0.5368523933
540	0.5367196758
541	0.5365672229
542	0.5363814026
543	0.5362357316
544	0.5359772389
545	0.5358292245
546	0.5356318302
547	0.5356151021
548	0.5354547247
549	0.5350173447
550	0.5346938177
551	0.5343113745
552	0.5340387247
553	0.5337812186
554	0.5335283938
555	0.5330987049
556	0.5330743913
557	0.5327441138
558	0.5324337472
559	0.5321562722
560	0.5320477332
561	0.5317942288
562	0.5315422601
563	0.5311673053
564	0.5308700348
565	0.5306618143
566	0.5302503737
567	0.5299069322
568	0.529795644
569	0.5294733295
570	0.5291391359
571	0.5288592268
572	0.5287240369
573	0.5285797887
574	0.5282968375
575	0.5281832648
576	0.528006781
577	0.5277133599
578	0.5275627269
579	0.5272897315
580	0.5271265704
581	0.5269804922
582	0.5265808533
583	0.5264970977
584	0.5260386484
585	0.5258371422
586	0.5257563625
587	0.5255221743
588	0.5255056685
589	0.5252502693
590	0.5250242435
591	0.5247127931
592	0.5244943292
593	0.5241957505
594	0.5240916763
595	0.5239534761
596	0.5238487103
597	0.5236316397
598	0.5231672208
599	0.5229978858
600	0.5229799807
601	0.5229480089
602	0.5227327877
603	0.5225369741
604	0.5221936457
605	0.5217570129
606	0.5216564722
607	0.5214481548
608	0.5212277832
609	0.5208933052
610	0.5208783333
611	0.5207526836
612	0.5207185898
613	0.520374848
614	0.5199663782
615	0.5197524262
616	0.5196909319
617	0.5192838875
618	0.5191209323
619	0.5187498566
620	0.5184264014
621	0.5180431144
622	0.5177674568
623	0.5175454774
624	0.5174030116
625	0.5173809839
626	0.5171857807
627	0.5170905188
628	0.5167850598
629	0.5163768159
630	0.5160109113
631	0.5159791871
632	0.5157635786
633	0.515347732
634	0.5152506425
635	0.5150276415
636	0.5149095851
637	0.514601227
638	0.5142543454
639	0.5140500311
640	0.513863851
641	0.5135924481
642	0.513336644
643	0.5131114405
644	0.5126889934
645	0.5124469538
646	0.5124173006
647	0.5121334433
648	0.512033009
649	0.5116742686
650	0.5116613763
651	0.5114020449
652	0.5113803525
653	0.5112496648
654	0.5110341144
655	0.5108409165
656	0.5106441152
657	0.5103681938
658	0.5099309889
659	0.5099185321
660	0.5095623542
661	0.5094177543
662	0.5089915823
663	0.5087555015
664	0.5086130506
665	0.5081282405
666	0.5080949247
667	0.5079440368
668	0.5075227597
669	0.5074178495
670	0.5070792427
671	0.5070674552
672	0.5069243229
673	0.5067309828
674	0.5063674959
675	0.5062679965
676	0.5060357246
677	0.5056874511
678	0.5054208759
679	0.5051964487
680	0.5050143096
681	0.5048560553
682	0.5047669109
683	0.5045456961
684	0.5044425929
685	0.5042825866
686	0.5039635754
687	0.5039517401
688	0.5039445292
689	0.5037638224
690	0.503454342
691	0.5033216534
692	0.5031232161
693	0.5027793385
694	0.5027468603
695	0.5026247846
696	0.5026139298
697	0.502288455
698	0.502102881
699	0.5019066152
700	0.5018909627
701	0.5017681649
702	0.5014450716
703	0.5013040934
704	0.5011809813
705	0.5009858375
706	0.5007761306
707	0.5005831471
708	0.5003445651
709	0.5000329292
710	0.5000107504
711	0.4998220792
712	0.4996406554
713	0.4991011847
714	0.498634079
715	0.4980278364
716	0.4977209126
717	0.4977100771
718	0.4977002562
719	0.4973720589
720	0.4973622972
721	0.4970890688
722	0.4968759701
723	0.496585195
724	0.4965368443
725	0.4963659878
726	0.4962353692
727	0.4962262536
728	0.4960252922
729	0.4957210915
730	0.4954630625
731	0.495270262
732	0.495164973
733	0.495129947
734	0.4945950398
735	0.4945092092
736	0.4942578923
737	0.4942445834
738	0.4942325688
739	0.494009494
740	0.4938851664
741	0.4938739505
742	0.4938600461
743	0.4934861543
744	0.4934784298
745	0.4934516153
746	0.4932208307
747	0.4930758011
748	0.4929394012
749	0.4929035968
750	0.4926915991
751	0.4925312515
752	0.4924683993
753	0.4923922669
754	0.4922149443
755	0.4920410841
756	0.4916030146
757	0.4911702883
758	0.4909446148
759	0.4908990959
760	0.4907745074
761	0.4905925008
762	0.4903861385
763	0.4903150561
764	0.4900754209
765	0.4900122278
766	0.4895895335
767	0.4894516073
768	0.4892768922
769	0.4889372723
770	0.4886852881
771	0.4885171334
772	0.4881721851
773	0.4881445468
774	0.487765027
775	0.4875571812
776	0.4873826322
777	0.4872339916
778	0.4868718091
779	0.4867606914
780	0.4866150253
781	0.4865021432
782	0.4862762814
783	0.4862688877
784	0.4857545476
785	0.4854769881
786	0.4853070698
787	0.4851749029
788	0.4851672419
789	0.4849064759
790	0.4845324164
791	0.4839516615
792	0.4836881163
793	0.4833360342
794	0.4832474869
795	0.4829154275
796	0.482699712
797	0.4823266178
798	0.4819759258
799	0.4817726168
800	0.4815282308
801	0.48112798
802	0.4809714929
803	0.4807985014
804	0.4807974482
805	0.480519002
806	0.4803907639
807	0.4801172916
808	0.479781772
809	0.4797082184
810	0.4794836801
811	0.4792200108
812	0.4791157231
813	0.4788990911
814	0.4786173923
815	0.4784046905
816	0.4782606647
817	0.4778616513
818	0.4776349539
819	0.4773769958
820	0.4772340094
821	0.4770773476
822	0.4769638324
823	0.476747989
824	0.476520578
825	0.47626191
826	0.4759892716
827	0.4757817691
828	0.4756825605
829	0.4754896325
830	0.4750668244
831	0.4748218496
832	0.4745620445
833	0.4740429356
834	0.4737602557
835	0.4735606371
836	0.4731701778
837	0.4730190842
838	0.472627676
839	0.4725872086
840	0.4724867482
841	0.4722692976
842	0.4721150119
843	0.4719451625
844	0.4717076175
845	0.4714850769
846	0.471324659
847	0.4709238639
848	0.4707471436
849	0.4706011607
850	0.4702178178
851	0.4700030436
